Aika_ms,KokonaisG,DynaaminenG,SisainenNopeus,BLE_Nopeus
BLE connected -> ACTIVE MODE
64419,1.016,-0.001,0.000,0.000
64439,1.017,-0.000,0.000,0.000
64459,1.016,-0.001,0.000,0.000
64479,1.017,-0.000,0.000,0.000
64500,1.018,0.001,0.000,0.000
64520,1.017,0.000,0.000,0.000
64540,1.017,0.000,0.000,0.000
64560,1.018,0.001,0.000,0.000
64580,1.017,0.000,0.000,0.000
64601,1.018,0.001,0.000,0.000
64621,1.017,-0.001,0.000,0.000
64641,1.017,0.000,0.000,0.000
64661,1.015,-0.002,0.000,0.000
64681,1.016,-0.001,0.000,0.000
74916,0.947,-0.071,-0.012,0.000
74936,1.102,0.086,0.005,0.005
74956,1.048,0.031,0.005,0.005
74977,1.017,0.001,0.005,0.005
74997,1.006,-0.009,0.005,0.005
75017,0.996,-0.019,0.005,0.005
75037,0.994,-0.021,0.005,0.005
75058,1.017,-0.000,0.004,0.004
75078,1.032,0.015,0.004,0.004
75098,1.020,0.003,0.000,0.000
75118,1.019,0.002,0.000,0.000
75139,1.043,0.021,0.000,0.000
75159,1.039,0.015,0.000,0.000
75179,1.009,-0.009,0.000,0.000
75199,0.969,-0.047,-0.008,0.000
75220,1.008,-0.008,-0.007,0.000
75240,0.949,-0.066,-0.017,0.000
75260,1.028,0.008,-0.014,0.000
75280,1.173,0.131,0.011,0.011
75301,1.100,0.064,0.024,0.024
75321,0.907,-0.119,0.001,0.001
75341,0.883,-0.133,-0.022,0.000
75361,1.026,0.004,-0.018,0.000
75382,1.105,0.062,-0.005,0.000
75403,1.028,-0.004,-0.004,0.000
75423,1.011,-0.016,-0.003,0.000
75443,0.934,-0.085,-0.017,0.000
75464,1.013,-0.006,-0.015,0.000
75484,1.101,0.065,-0.002,0.000
75504,1.050,0.011,-0.001,0.000
75524,0.987,-0.041,-0.008,0.000
75545,1.016,-0.050,-0.016,0.000
75565,1.046,-0.011,-0.013,0.000
75585,1.006,-0.015,-0.011,0.000
75605,1.022,-0.014,-0.010,0.000
75626,1.016,-0.011,-0.008,0.000
75646,1.008,-0.025,-0.007,0.000
75666,1.050,0.020,-0.006,0.000
75686,0.992,-0.062,-0.015,0.000
75707,1.017,-0.024,-0.013,0.000
75727,1.018,-0.019,-0.011,0.000
75747,1.003,-0.032,-0.009,0.000
75767,1.040,-0.006,-0.008,0.000
75788,1.021,-0.021,-0.007,0.000
75808,1.021,-0.012,-0.006,0.000
75828,1.038,-0.047,-0.013,0.000
75848,1.037,-0.024,-0.011,0.000
75869,1.099,0.072,0.004,0.004
75889,1.226,0.193,0.041,0.041
75909,0.947,-0.252,-0.007,0.000
75929,1.013,-0.016,-0.006,0.000
75950,1.019,-0.008,-0.005,0.000
75970,1.014,-0.010,-0.004,0.000
75990,1.029,0.009,-0.004,0.000
76010,1.100,0.076,0.011,0.011
76031,1.059,0.019,0.011,0.011
76051,0.974,-0.056,-0.000,0.000
76071,1.051,-0.019,-0.000,0.000
76091,1.031,-0.043,-0.007,0.000
76112,1.026,0.006,-0.006,0.000
76132,1.043,0.022,-0.005,0.000
76152,1.029,0.014,-0.004,0.000
76172,1.025,0.006,-0.004,0.000
76193,0.996,-0.021,-0.003,0.000
76213,1.065,0.040,-0.003,0.000
76233,1.120,0.082,0.013,0.013
76253,1.188,0.139,0.040,0.040
76274,1.046,0.030,0.039,0.039
76294,1.027,0.009,0.038,0.038
76314,1.087,0.071,0.051,0.051
76334,1.117,0.087,0.067,0.067
76355,1.084,0.036,0.065,0.065
76375,1.068,0.020,0.064,0.064
76395,1.050,0.005,0.063,0.063
76415,1.048,-0.004,0.062,0.062
76436,1.078,0.045,0.069,0.069
76457,1.147,0.118,0.092,0.092
76477,1.218,0.178,0.124,0.124
76497,1.168,0.122,0.145,0.145
76518,1.179,0.115,0.166,0.166
76538,1.230,0.174,0.196,0.196
76558,1.103,0.054,0.202,0.202
76578,0.985,-0.103,0.178,0.178
76599,0.925,-0.160,0.142,0.142
76619,1.014,-0.136,0.113,0.113
76639,0.999,-0.091,0.094,0.094
76659,1.078,-0.029,0.092,0.092
76680,1.022,-0.101,0.070,0.070
76700,0.942,-0.176,0.034,0.034
76720,0.991,-0.177,-0.000,0.000
76740,1.021,-0.189,-0.032,0.000
76761,1.038,-0.152,-0.053,0.000
76781,1.072,-0.134,-0.068,0.000
76801,1.044,-0.218,-0.094,0.000
76821,0.982,-0.241,-0.120,0.000
76842,1.056,-0.189,-0.135,0.000
76862,1.113,-0.165,-0.142,0.000
76882,1.053,-0.231,-0.160,0.000
76902,0.923,-0.313,-0.188,0.000
76923,1.030,-0.261,-0.205,0.000
76943,1.115,-0.218,-0.211,0.000
76963,1.054,-0.260,-0.223,0.000
76983,1.027,-0.277,-0.235,0.000
77004,1.000,-0.319,-0.256,0.000
77024,1.024,-0.375,-0.280,0.000
77044,0.902,-0.432,-0.310,0.000
77064,0.940,-0.444,-0.338,0.000
77085,1.004,-0.430,-0.362,0.000
77105,0.996,-0.429,-0.380,0.000
77125,0.935,-0.461,-0.399,0.000
77145,0.952,-0.488,-0.421,0.000
77166,0.919,-0.482,-0.442,0.000
77186,1.010,-0.445,-0.450,0.000
77206,1.075,-0.449,-0.457,0.000
77226,0.978,-0.499,-0.472,0.000
77247,0.904,-0.533,-0.494,0.000
77267,0.935,-0.518,-0.500,0.000
77287,1.038,-0.498,-0.500,0.000
77307,1.081,-0.508,-0.500,0.000
77328,1.028,-0.515,-0.500,0.000
77348,0.979,-0.522,-0.500,0.000
77368,1.006,-0.551,-0.500,0.000
77388,1.018,-0.571,-0.500,0.000
77409,1.012,-0.571,-0.500,0.000
77429,1.134,-0.533,-0.500,0.000
77449,1.089,-0.526,-0.500,0.000
77469,0.925,-0.572,-0.500,0.000
77490,1.091,-0.566,-0.500,0.000
77510,1.123,-0.558,-0.500,0.000
77530,1.186,-0.568,-0.500,0.000
77550,1.209,-0.583,-0.500,0.000
77571,1.091,-0.600,-0.500,0.000
77591,1.047,-0.641,-0.500,0.000
77611,1.042,-0.680,-0.500,0.000
77631,1.020,-0.707,-0.500,0.000
77652,1.037,-0.743,-0.500,0.000
77672,1.039,-0.776,-0.500,0.000
77692,1.035,-0.777,-0.500,0.000
77712,1.049,-0.806,-0.500,0.000
77733,0.947,-0.882,-0.500,0.000
77753,0.967,-0.921,-0.500,0.000
77773,1.072,-0.919,-0.500,0.000
77793,1.005,-0.941,-0.500,0.000
77814,0.908,-1.023,-0.500,0.000
77834,0.924,-1.046,-0.500,0.000
77854,0.976,-1.020,-0.500,0.000
77874,0.993,-1.062,-0.500,0.000
77895,0.912,-1.131,-0.500,0.000
77915,0.918,-1.119,-0.500,0.000
77935,0.967,-1.056,-0.500,0.000
77955,1.011,-1.030,-0.500,0.000
77976,1.091,-1.073,-0.500,0.000
77996,1.149,-1.091,-0.500,0.000
78016,1.169,-1.089,-0.500,0.000
78036,1.170,-1.108,-0.500,0.000
78057,1.175,-1.152,-0.500,0.000
78077,1.143,-1.223,-0.500,0.000
78097,1.128,-1.260,-0.500,0.000
78117,0.967,-1.186,-0.500,0.000
78138,0.958,-1.088,-0.500,0.000
78158,1.169,-1.073,-0.500,0.000
78178,1.264,-1.094,-0.500,0.000
78198,1.274,-1.117,-0.500,0.000
78219,1.085,-1.220,-0.500,0.000
78239,0.752,-1.204,-0.500,0.000
78259,0.816,-1.117,-0.500,0.000
78279,1.335,-1.032,-0.500,0.000
78300,1.543,-1.076,-0.500,0.000
78320,1.276,-1.182,-0.500,0.000
78340,0.794,-1.216,-0.500,0.000
78360,0.599,-1.280,-0.500,0.000
78381,0.819,-1.305,-0.500,0.000
78401,1.065,-1.157,-0.500,0.000
78421,1.211,-0.975,-0.500,0.000
78441,1.158,-0.900,-0.500,0.000
78462,0.887,-0.944,-0.500,0.000
78482,0.672,-1.113,-0.500,0.000
78502,0.717,-1.160,-0.500,0.000
78522,0.776,-1.150,-0.500,0.000
78543,0.780,-1.110,-0.500,0.000
78563,0.866,-1.069,-0.500,0.000
78583,1.030,-1.004,-0.500,0.000
78603,1.110,-0.960,-0.500,0.000
78624,1.116,-0.976,-0.500,0.000
78644,1.065,-0.963,-0.500,0.000
78664,1.142,-0.949,-0.500,0.000
78684,1.143,-1.005,-0.500,0.000
78705,1.070,-1.037,-0.500,0.000
78725,1.029,-1.022,-0.500,0.000
78745,0.992,-1.032,-0.500,0.000
78765,0.975,-1.054,-0.500,0.000
78786,0.962,-1.087,-0.500,0.000
78806,0.888,-1.123,-0.500,0.000
78826,0.854,-1.136,-0.500,0.000
78846,0.960,-1.096,-0.500,0.000
78867,0.979,-1.044,-0.500,0.000
78887,0.843,-1.047,-0.500,0.000
78907,0.848,-1.007,-0.500,0.000
78927,0.971,-1.014,-0.500,0.000
